                                                          |       2000 |       2001 |       2002 |       2003 |       2004 |       2005
---------------------------------------------------------------------------------------------------------------------------------------
Afghanistan                                               |            |            |            |            |            |           
                                               co2_emi    |       0.04 |       0.03 |       0.03 |       0.03 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Albania                                                   |            |            |            |            |            |           
                                               co2_emi    |        0.7 |       0.76 |       0.83 |       0.98 |          0 |          0
                                               ene_use    |     550.33 |     559.29 |     631.65 |     673.63 |     760.03 |          0
Algeria                                                   |            |            |            |            |            |           
                                               co2_emi    |       5.43 |       5.22 |       5.28 |       5.14 |          0 |          0
                                               ene_use    |     960.24 |     951.41 |     987.58 |    1037.73 |    1016.61 |          0
American Samoa                                            |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |       5.14 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Andorra                                                   |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Angola                                                    |            |            |            |            |            |           
                                               co2_emi    |       0.48 |        0.5 |       0.52 |       0.57 |          0 |          0
                                               ene_use    |      572.3 |     585.02 |     589.93 |      606.1 |     612.52 |          0
Antigua and Barbuda                                       |            |            |            |            |            |           
                                               co2_emi    |        4.6 |       4.54 |        4.7 |       4.99 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Argentina                                                 |            |            |            |            |            |           
                                               co2_emi    |       3.72 |       3.37 |       3.18 |       3.35 |          0 |          0
                                               ene_use    |    1678.79 |    1573.81 |    1489.55 |    1574.81 |    1660.48 |          0
Armenia                                                   |            |            |            |            |            |           
                                               co2_emi    |       1.12 |       1.15 |       0.98 |       1.13 |          0 |          0
                                               ene_use    |     672.29 |     673.47 |     631.82 |     659.82 |     703.55 |          0
Aruba                                                     |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |      21.76 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Australia                                                 |            |            |            |            |            |           
                                               co2_emi    |      18.22 |      18.91 |         18 |      17.82 |          0 |          0
                                               ene_use    |    5768.65 |    5581.05 |    5697.42 |    5681.53 |    5762.29 |          0
Austria                                                   |            |            |            |            |            |           
                                               co2_emi    |       7.57 |          8 |       8.06 |       8.66 |          0 |          0
                                               ene_use    |    3616.27 |    3815.73 |    3847.15 |    4069.33 |    4059.84 |          0
Azerbaijan                                                |            |            |            |            |            |           
                                               co2_emi    |        3.7 |       3.42 |       3.41 |       3.54 |          0 |          0
                                               ene_use    |    1430.32 |    1427.54 |    1430.39 |    1492.58 |     1558.8 |          0
Bahamas, The                                              |            |            |            |            |            |           
                                               co2_emi    |       5.95 |       5.87 |       6.71 |       5.94 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Bahrain                                                   |            |            |            |            |            |           
                                               co2_emi    |      27.74 |      26.38 |      30.59 |      30.99 |          0 |          0
                                               ene_use    |    9278.16 |    9433.38 |    9864.48 |   10252.71 |   10469.11 |          0
Bangladesh                                                |            |            |            |            |            |           
                                               co2_emi    |       0.22 |       0.25 |       0.25 |       0.25 |          0 |          0
                                               ene_use    |     145.13 |     155.39 |     156.63 |      160.9 |      163.7 |          0
Barbados                                                  |            |            |            |            |            |           
                                               co2_emi    |       4.45 |       4.54 |       4.57 |       4.44 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Belarus                                                   |            |            |            |            |            |           
                                               co2_emi    |       5.91 |       5.87 |       6.03 |       6.33 |          0 |          0
                                               ene_use    |    2459.67 |    2476.16 |    2539.95 |    2628.83 |    2725.44 |          0
Belgium                                                   |            |            |            |            |            |           
                                               co2_emi    |       9.97 |       9.25 |       8.86 |       9.91 |          0 |          0
                                               ene_use    |    5743.76 |    5698.55 |    5473.82 |    5704.95 |    5536.26 |          0
Belize                                                    |            |            |            |            |            |           
                                               co2_emi    |       2.76 |       2.76 |        2.8 |       2.85 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Benin                                                     |            |            |            |            |            |           
                                               co2_emi    |       0.22 |       0.23 |       0.26 |       0.26 |          0 |          0
                                               ene_use    |     279.42 |     283.21 |     296.86 |     301.43 |     302.67 |          0
Bermuda                                                   |            |            |            |            |            |           
                                               co2_emi    |       7.43 |       7.39 |       7.94 |        7.9 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Bhutan                                                    |            |            |            |            |            |           
                                               co2_emi    |       0.71 |        0.7 |       0.68 |       0.63 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Bolivia                                                   |            |            |            |            |            |           
                                               co2_emi    |       1.18 |       1.08 |       1.05 |       0.89 |          0 |          0
                                               ene_use    |     594.35 |     517.19 |     497.61 |     503.78 |     552.56 |          0
Bosnia and Herzegovina                                    |            |            |            |            |            |           
                                               co2_emi    |       5.05 |       5.06 |       4.82 |       4.88 |          0 |          0
                                               ene_use    |    1044.42 |    1118.87 |    1063.81 |    1134.97 |    1203.23 |          0
Botswana                                                  |            |            |            |            |            |           
                                               co2_emi    |       2.33 |       2.22 |       2.31 |       2.32 |          0 |          0
                                               ene_use    |    1050.17 |    1048.39 |    1072.27 |    1049.36 |     1054.8 |          0
Brazil                                                    |            |            |            |            |            |           
                                               co2_emi    |       1.77 |       1.79 |       1.75 |       1.64 |          0 |          0
                                               ene_use    |     1068.1 |    1059.57 |    1069.88 |    1067.57 |    1113.83 |          0
Brunei                                                    |            |            |            |            |            |           
                                               co2_emi    |      17.19 |      16.06 |      15.06 |      12.72 |          0 |          0
